Satellite,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z
G02,15455451.7051558271,-1320292.2039376735,22058632.6263992526,732.0384245269,2582.1346467525,-332.1200433717
G03,22143528.9268351384,-11425226.6391905583,8870788.5016411077,-742.0430055047,900.0731334022,2966.6940679894
G04,22784657.3829942420,-1462358.9502623025,-13682300.6830754429,1549.2524284855,801.1157444467,2477.2821338681
G06,-5101282.9384208973,-25995568.1891314201,-621637.2997483356,180.5564484640,-121.5456061347,3244.1254272522
G08,26006717.2208187170,5933308.4710090673,2490018.3181681721,234.0093967812,357.5124236017,-3103.2839633234
G10,-4355859.6200022502,19337271.0617983192,17725176.0433806628,-1758.2982489953,1353.2012850447,-1965.0082480984
G12,-22622445.6603731252,6921443.1037840443,11743343.9575011525,1074.0272520325,-1126.3205011624,2673.1525102650
G13,-22340791.3373128846,-14189897.8571677785,-3679266.6272725770,487.7282533550,0.3288051800,-3139.6246709924
G14,8135811.4585992722,-20564170.3539972007,14586850.2197194640,1589.7020271092,-995.1022575410,-2319.3681424107
G15,-26343437.1594017670,-2831634.9756032163,2292440.4157734085,-288.9502363119,-402.0561023322,-3093.0534701763
G17,-1128451.1611620281,-16345004.4582468010,21286668.7263499461,2442.8123308674,919.1651957792,870.4122315910
G19,-11700697.1795379315,-17679595.1352378316,16114523.3855915628,1932.2769127831,718.0204471933,2129.0807607498
G21,16699400.5617015716,6170063.3257161621,20413768.6706925035,658.9459133155,2386.2914537998,-1179.4564759194
G22,1208171.9673354281,-18100674.3425266966,19902807.0156618878,2022.0453861558,-1353.0491951240,-1351.3792435390
G23,-15630256.7065259013,20332260.9889334179,6465286.8864555061,-754.4229845929,391.8475569846,-3093.7299645341
G24,-16234140.3852690496,-1045755.8050175216,20598642.5351691321,-729.4167482267,-2625.5845450081,-652.6225267251
G25,-19801897.5897885859,17457415.7367158197,596480.8398848105,-142.4374396075,-331.0721343042,3167.1270256785
G27,22074436.6963424161,13118295.8659288939,-7904163.6311678514,-975.5147740747,-83.5122871015,-2933.0909033932
G28,4860278.2523092628,26060449.7820155397,1604501.7324993638,-318.5615732338,-137.4456900783,3168.6549454516
G30,1067875.6693249866,-25088955.2446044721,-8081647.7526185112,559.1287024108,966.6803695544,-2901.2346151452
G31,11004808.8712886386,21902885.1545360014,-9975787.0549851265,-72.9772213191,1277.6313842244,2828.4339732132
G32,4832541.2108450942,16577558.6486078203,20453845.7904726267,-2441.9280811944,-712.9312649668,1147.1523085520
R01,5835429.9789012652,9851809.5421837810,22787495.1345607191,-3068.3551223240,576.3332924046,536.9429004983
R02,23835317.9497815743,3443020.2702550250,8557832.6809258796,-1168.1433338307,-161.1196493621,3326.4110642271
R03,23409866.0364387967,-4939400.6236818079,-8900536.8449814525,1217.3744756504,-214.9282686742,3299.7592551503
R08,-9896079.8725906983,10231782.4764223844,21209754.8486511521,-2888.8348311389,164.9548472778,-1434.9266873092
R09,-11259945.8511401117,-2648437.7122057704,22758188.9455944635,1379.4354838464,-2784.8844872943,350.9639260434
R15,11149265.9198262300,-22877967.8775764704,1687335.7117348572,-22.7209702546,-270.3524613980,-3553.5484968980
R16,333449.4584979034,-18501906.2348427065,17547302.4365264103,1013.3559445644,-2181.4270619258,-2323.5749379081
R17,10721580.1100142803,-2714077.5082910969,22996769.5857329406,1667.4971193571,2669.9361783285,-467.1168461536
R18,241770.0956427552,-16687259.4332862236,19297333.2028169706,1244.3549251708,2333.7303172598,2008.2756159641
R23,10760204.7561766803,22628764.0178836510,-4764128.2347071078,-131.7297006378,-679.9435754600,-3527.6354684247
R24,16274898.6987389717,13983990.9057518132,13796893.0771247428,1103.6743276960,1535.1532367809,-2864.9237882003
E03,14436031.0135905892,-11472759.1097384226,-23165150.5442521535,2148.9145279570,877.0844016178,905.9985653286
E05,27207313.6814893037,2799977.0020280061,-11322653.9142022096,1067.9965449454,387.7215373992,2663.3851259565
E07,-23968947.9210743271,-15672176.6304355338,-7508253.1495840438,672.0474276122,343.3606879929,-2862.7504650117
E08,-6520800.3797729099,-18971802.1955829524,-21777257.9993383847,2000.0113278431,874.4443427019,-1360.4189844009
E10,8809417.9488683678,26984712.8089810461,8366162.6519232821,268.5310269906,813.9314876233,-2909.3926815484
E12,3220071.6276486996,29422486.7800789364,-617375.6631177925,158.6360787186,-82.3045048241,-3080.8903758554
E13,-13422944.1425026394,-20275764.7406925894,-16870256.5136612728,-337.3931670349,-1668.2007177010,2271.9233313459
E15,-2776430.4782248558,-29440480.0972461663,1351543.6894294235,-158.3742511834,155.2780223526,3083.6693983514
E21,-25423996.7455419526,8056577.6685609547,12838383.7233315445,1063.3223953400,-728.6993520732,2563.3839422006
E24,14964702.3211860433,9424950.6658460684,-23752527.2735997103,-1911.5778587669,1416.5456820671,-640.7079366504
E25,25355215.8835227005,-7695378.6899374677,-13195192.9602499306,-1092.2888648784,750.7033824870,-2534.8636249383
E26,-16123988.6882514041,1148992.5547736764,-24785492.5964241251,-312.8876236088,-2472.3152161165,88.1508912439
E29,-27106701.3870478161,-2504287.9153483510,11598445.5654535741,-1086.8978104969,-420.0555323239,-2629.4128557892
E31,-4111076.7608558312,20913999.0018364862,-20529250.2876828648,-1622.2616649391,1271.1443652712,1619.6307456505
E33,-9549412.6965372525,20800264.8788578212,-18753602.6342390105,-117.8105653365,-1886.6945473090,-2032.6365201892
